net,length_um
net304,299.42
_10736_,299.05
_13936_,299.02
_10695_,298.94
_09078_,298.34
_08912_,298.22
_10676_,297.92
mem_rdata_q\[11\],297.615
_12591_,297.27
net10,297.23
_08691_,297.21
_13815_,297.19
_09076_,297.13
_06390_,296.88
_10288_,296.39
_13972_,295.74
_05112_,295.7
_13637_,295.5
_00728_,295.44
net314,295.38
net275,295.325
_06179_,295.22
_10963_,294.86
_08732_,294.58
_12324_,294.53
_08536_,294.24
net122,293.62
net285,293.5
_05120_,292.9
net46,292.86
_08148_,292.8
_11113_,292.69
genblk1.pcpi_mul.rs1\[20\],292.58
net49,292.47
_09080_,292.02
net7,291.91
_14444_,291.835
net11,291.66
_12228_,291.58
_08573_,291.56
_09143_,291.47
_09134_,291.02
_11946_,290.92
_11444_,290.84
_11160_,290.74
net37,290.55
net296,290.3
net252,289.44
_01664_,289.435
genblk1.pcpi_mul.rd\[29\],289.18
genblk1.pcpi_mul.rd\[31\],289.12
_13754_,289.02
_09132_,288.34
net43,288.08
net238,287.98
_13744_,287.52
_08954_,287.03
_10613_,286.66
_14132_,286.34
_12361_,285.71
_10610_,285.56
_14166_,285.48
_08851_,285.44
_12285_,285.34
decoded_imm_uj\[15\],284.79
net272,284.68
_12074_,284.64
_11080_,284.57
_08860_,284.565
_14212_,284.555
_08716_,284.45
net250,283.9
net303,283.9
_08294_,283
decoded_imm_uj\[18\],282.96
_10435_,282.66
_12146_,281.88
_10640_,281.87
_11380_,281.69
_12830_,281.41
_08338_,281.125
_08730_,281.07
_09073_,281.02
_11959_,280.95
net223,280.88
_09290_,279.86
_04098_,279.26
genblk1.pcpi_mul.rd\[28\],278.98
genblk1.pcpi_mul.rs2\[0\],278.7
_13668_,278.56
_09457_,278.06
_13305_,278.02
_09124_,277.62
net125,277.31
_04987_,277.24
_07736_,277.04
_08334_,276.99
_10603_,276.98
_01613_,276.77
mem_rdata_q\[16\],276.645
_11598_,275.16
_14262_,274.84
genblk1.pcpi_mul.rd\[24\],274.44
net330,274.32
_11056_,274.16
_09026_,273.845
_12079_,273.53
_12978_,273.24
net39,273.1
net176,273.04
_08525_,272.88
_12588_,272.14
net62,272.08
_08106_,271.64
_13683_,271.04
decoded_imm\[27\],270.895
mem_rdata_q\[15\],270.52
_12694_,270.5
_01624_,270.48
_14384_,270.44
net240,270.06
_11191_,269.5
net54,269.43
_13743_,269.36
clknet_5_2__leaf_clk,269.09
_10608_,268.81
decoded_imm_uj\[4\],268.36
_05746_,268.22
_09197_,268.18
_10412_,268.04
_08621_,268.02
_09121_,268
net290,267.92
genblk1.pcpi_mul.rd\[30\],267.7
_08709_,267.52
_08617_,267.16
_02567_,267.14
decoded_imm_uj\[2\],267.105
_13803_,266.8
_09090_,266.38
_08726_,266.34
_11233_,266.28
_14566_,266.26
_11302_,266.23
_08265_,266.21
_14257_,266.06
_11948_,265.94
_08582_,265.23
_08291_,264.96
net173,264.54
_09522_,264.5
_13446_,264.275
_13447_,264.1
_12226_,263.94
mem_rdata_q\[8\],263.76
net298,263.72
mem_rdata_q\[10\],263.195
_08994_,262.86
_08235_,262.49
_10626_,262.27
_11489_,262.145
_14283_,262.01
_13757_,261.01
_00102_,260.97
_05191_,260.8
_08847_,260.8
genblk1.pcpi_mul.rs2\[1\],260.53
_12537_,260.51
_09140_,260.48
_08273_,260.41
net128,260.23
_11138_,260.12
_10086_,260.08
_08757_,259.965
_08835_,259.92
_13913_,259.24
